ID,NAME,CITY,STATE,ZIP
3982,THE HEART HOSPITAL BAYLOR PLANO,PLANO,TX,75093
3983,THE MEDICAL CENTER OF SOUTHEAST TEXAS,PORT ARTHUR,TX,77640
3984,MEMORIAL MEDICAL CENTER,PORT LAVACA,TX,77979
3985,HARDEMAN COUNTY MEMORIAL HOSPITAL,QUANAH,TX,79252
3986,EAST TEXAS MEDICAL CENTER - QUITMAN,QUITMAN,TX,75783
3987,REFUGIO COUNTY MEMORIAL HOSPITAL DISTRICT,REFUGIO,TX,78377
3988,METHODIST RICHARDSON MEDICAL CENTER,RICHARDSON,TX,75080
3989,STARR COUNTY MEMORIAL HOSPITAL,RIO GRANDE CITY,TX,78582
3990,ROUND ROCK MEDICAL CENTER,ROUND ROCK,TX,78681
3991,SCOTT AND WHITE HOSPITAL - ROUND ROCK,ROUND ROCK,TX,78665
3992,FISHER COUNTY HOSPITAL DISTRICT,ROTAN,TX,79546
3993,SETON MEDICAL CENTER WILLIAMSON,ROUND ROCK,TX,78665
3994,RUSK STATE HOSPITAL,RUSK,TX,75785
3995,SHANNON WEST TEXAS MEMORIAL HOSPITAL,SAN ANGELO,TX,76902
3996,SAN ANGELO COMMUNITY MEDICAL CENTER,SAN ANGELO,TX,76904
3997,UNIVERSITY HOSPITAL,SAN ANTONIO,TX,78229
3998,METHODIST HOSPITAL,SAN ANTONIO,TX,78229
3999,TEXAS CENTER FOR INFECTIOUS DISEASE,SAN ANTONIO,TX,78223
4000,METHODIST AMBULATORY SURGERY HOSPITAL - NORTHWEST,SAN ANTONIO,TX,78240
4001,SELECT SPECIALTY HOSPITAL - SAN ANTONIO,SAN ANTONIO,TX,78205
4002,VICTORY MEDICAL CENTER SOUTHCROSS,SAN ANTONIO,TX,78222
4003,FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,SAN ANTONIO,TX,78240
4004,MEMORIAL MEDICAL CENTER - SAN AUGUSTINE,SAN AUGUSTINE,TX,75972
4005,CENTRAL TEXAS MEDICAL CENTER,SAN MARCOS,TX,78666
4006,GUADALUPE REGIONAL MEDICAL CENTER,SEGUIN,TX,78155
4007,MEMORIAL HOSPITAL,SEMINOLE,TX,79360
4008,SEYMOUR HOSPITAL,SEYMOUR,TX,76380
4009,TEXAS HEALTH PRESBYTERIAN HOSPITAL - WNJ,SHERMAN,TX,75092
4010,LIFELONG INDEPENDENCE AND FITNESS ENRICHMENT CENTER,SHERMAN,TX,75090
4011,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE,SOUTHLAKE,TX,76092
4012,EMERUS HOSPITAL,SUGAR LAND,TX,77479
4013,COGDELL MEMORIAL HOSPITAL,SNYDER,TX,79549
4014,HERITAGE PARK SURGICAL HOSPITAL,SHERMAN,TX,75090
4015,SWEENY COMMUNITY HOSPITAL,SWEENY,TX,77480
4016,MEMORIAL HERMANN SUGAR LAND,SUGAR LAND,TX,77479
4017,LILLIAN M. HUDSPETH MEMORIAL HOSPITAL,SONORA,TX,76950
4018,STAMFORD MEMORIAL HOSPITAL,STAMFORD,TX,79553
4019,MARTIN COUNTY HOSPITAL DISTRICT,STANTON,TX,79782
4020,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILLE,STEPHENVILLE,TX,76401
4021,TEXAS REGIONAL MEDICAL CENTER AT SUNNYVALE,SUNNYVALE,TX,75182
4022,SCOTT AND WHITE MEMORIAL HOSPITAL,TEMPLE,TX,76508
4023,ST. LUKE'S THE WOOLDLANDS HOSPITAL,THE WOODLANDS,TX,77384
4024,ST. LUKE'S LAKESIDE HOSPITAL,THE WOODLANDS,TX,77384
4025,TOMBALL REGIONAL HOSPITAL,TOMBALL,TX,77375
4026,ST. LUKES SUGAR LAND HOSPITAL,SUGAR LAND,TX,77478
4027,HOPKINS COUNTY MEMORIAL HOSPITAL,SULPHUR SPRINGS,TX,75483
4028,ROLLING PLAINS MEMORIAL HOSPITAL,SWEETWATER,TX,79556
4029,CHRISTUS ST. MICHAEL HEALTH SYSTEM,TEXARKANA,TX,75504
4030,MOTHER FRANCES HOSPITAL - TYLER,TYLER,TX,75701
4031,BAYLOR MEDICAL CENTER AT TROPHY CLUB,TROPHY CLUB,TX,76262
4032,UNIVERSITY OF TEXAS HEALTH CENTER - TYLER,TYLER,TX,75708
4033,TEXAS SPINE AND JOINT HOSPITAL,TYLER,TX,75701
4034,UVALDE MEMORIAL HOSPITAL,UVALDE,TX,78801
4035,CITIZENS MEDICAL CENTER,VICTORIA,TX,77901
4036,DETAR HOSPITAL NAVARRO,VICTORIA,TX,77902
4037,HILLCREST BAPTIST MEDICAL CENTER,WACO,TX,76708
4038,BAYLOR MEDICAL CENTER AT WAXAHACHIE,WAXAHACHIE,TX,75165
4039,CORNERSTONE HOSPITAL OF HOUSTON - CLEAR LAKE,WEBSTER,TX,77598
4040,KNAPP MEDICAL CENTER,WESLACO,TX,78599
4041,UNITED REGIONAL HEALTH CARE SYSTEM,WICHITA FALLS,TX,76301
4042,GULF COAST MEDICAL CENTER,WHARTON,TX,77488
4043,LAKE WHITNEY MEDICAL CENTER,WHITNEY,TX,76692
4044,KELL WEST REGIONAL HOSPITAL,WICHITA FALLS,TX,76310
4045,WINNIE COMMUNITY HOSPITAL,WINNIE,TX,77665
4046,TYLER COUNTY HOSPITAL,WOODVILLE,TX,75979
4047,YOAKUM COMMUNITY HOSPITAL,YOAKUM,TX,77995
4048,TEXAS INSTITUTE FOR SURGERY AT TEXAS HEALTH PRESBYTERIAN DALLAS,DALLAS,TX,75231
4049,TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,DALLAS,TX,75231
4050,MEDICAL CITY DALLAS HOSPITAL,DALLAS,TX,75230
4051,METHODIST CHARLTON MEDICAL CENTER,DALLAS,TX,75237
4052,DOCTORS HOSPITAL AT WHITE ROCK LAKE,DALLAS,TX,75218
4053,BAYLOR MEDICAL CENTER AT UPTOWN,DALLAS,TX,75204
4054,DALLAS MEDICAL CENTER,DALLAS,TX,75381
4055,CROOK COUNTY MEDICAL SERVICES DISTRICT,SUNDANCE,WY,82729
4056,MOUNTAIN VIEW REGIONAL HOSPITAL,CASPER,WY,82609
4057,EVANSTON REGIONAL HOSPITAL,EVANSTON,WY,82930
4058,SOUTH BIG HORN COUNTY CRITICAL ACCESS HOSPITAL,BASIN,WY,82410
4059,TETON MEDICAL CENTER,CHOTEAU,MT,59422
4060,LIVINGSTON HEALTHCARE,LIVINGSTON,MT,59047
4061,MCCONE COUNTY HEALTH CENTER,CIRCLE,MT,59215
4062,ROSEBUD HEALTH CARE CENTER HOSPITAL,FORSYTH,MT,59327
4063,GLENDIVE MEDICAL CENTER,GLENDIVE,MT,59330
4064,CENTRAL MONTANA MEDICAL CENTER,LEWISTOWN,MT,59457
4065,BROADWATER HEALTH CENTER,TOWNSEND,MT,59644
4066,ST LUKE COMMUNITY HOSPITAL - CAH,RONAN,MT,59864
4067,DANIELS MEMORIAL HOSPITAL,SCOBEY,MT,59263
4068,SIDNEY HEALTH CENTER,SIDNEY,MT,59270
4069,NORTH VALLEY HOSPITAL,WHITEFISH,MT,59937
4070,GRANITE COUNTY MEDICAL CENTER,PHILIPSBURG,MT,59858
4071,ST VINCENT HEALTH CARE,BILLINGS,MT,59107
4072,BENEFIS HEALTH CARE (EAST CAMPUS),GREAT FALLS,MT,59405
4073,BOZEMAN DEACONESS HOSPITAL,BOZEMAN,MT,59715
4074,ST JAMES HEALTHCARE,BUTTE,MT,59701
4075,ST PATRICK HOSPITAL,MISSOULA,MT,59806
4076,ST. PETER'S HOSPITAL,ALBANY,NY,12208
4077,CUBA MEMORIAL HOSPITAL,CUBA,NY,14727
4078,JONES MEMORIAL HOSPITAL,WELLSVILLE,NY,14895
4079,UHS WILSON MEMORIAL HOSPITAL,JOHNSON CITY,NY,13790
4080,CHENANGO MEMORIAL HOSPITAL,NORWICH,NY,13815
4081,NORTHERN DUTCHESS HOSPITAL,RHINEBECK,NY,12572
4082,STONY BROOK UNIVERSITY MEDICAL CENTER,STONY BROOK,NY,11790
4083,ADIRONDACK MEDICAL CENTER,SARANAC LAKE,NY,12983
4084,ALICE HYDE MEDICAL CENTER,MALONE,NY,12953
4085,SAMARITAN MEDICAL CENTER,JEFFERSON,NY,13601
4086,LITTLE FALLS HOSPITAL,LITTLE FALLS,NY,13365
4087,RIVER HOSPITAL,ALEXANDRIA BAY,NY,13607
4088,CARTHAGE AREA HOSPITAL,CAPE VINCENT,NY,13618
4089,ST. MARY'S HEALTHCARE,AMSTERDAM,NY,12010
4090,NORTH SHORE UNIVERSITY HOSPITAL,MANHASSET,NY,11030
4091,NASSAU UNIVERSITY MEDICAL CENTER,EAST MEADOW,NY,11554
4092,SYOSSET HOSPITAL,SYOSSET,NY,11791
4093,EASTERN NIAGARA HOSPITAL,NEWFANE,NY,14108
4094,ROME MEMORIAL HOSPITAL,ROME,NY,13440
4095,ST. ELIZABETH MEDICAL CENTER,UTICA,NY,13501
4096,UPSTATE UNIVERSITY HOSPITAL - COMMUNITY CAMPUS,SYRACUSE,NY,13215
4097,ST. LUKE'S CORNWALL HOSPITAL - NEWBURGH CAMPUS,NEWBURGH,NY,12550
4098,ST. LUKE'S CORNWALL HOSPITAL - CORNWALL CAMPUS,CORNWALL,NY,12518
4099,PUTNAM HOSPITAL CENTER,CARMEL,NY,10512
4100,ST MARY'S HOSPITAL,TROY,NY,12180
4101,ELLIS HEALTH CENTER,SCHENECTADY,NY,12304
4102,COBLESKILL REGIONAL HOSPITAL,COBLESKILL,NY,12043
4103,BELLEVUE WOMAN'S CENTER OF ELLIS MEDICINE,NISKAYUNA,NY,12309
4104,GUTHRIE CORNING HOSPITAL,CORNING,NY,14830
4105,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,PATCHOGUE,NY,11772
4106,EASTERN LONG ISLAND HOSPITAL,GREENPORT,NY,11901
4107,HUNTINGTON HOSPITAL,HUNTINGTON,NY,11743
4108,GROVER M. HERMAN HOSPITAL,CALLICOON,NY,12723
4109,HEALTHALLIANCE HOSPITAL - BROADWAY CAMPUS,KINGSTON,NY,12401
4110,ELLENVILLE REGIONAL HOSPITAL,ELLENVILLE,NY,12428
4111,WHITE PLAINS HOSPITAL CENTER,WHITE PLAINS,NY,10601
4112,NEWARK-WAYNE COMMUNITY HOSPITAL,NEWARK,NY,14513
4113,MOUNT VERNON HOSPITAL,MOUNT VERNON,NY,10550
4114,ST. JOHN'S RIVERSIDE HOSPITAL - DOBBS FERRY,DOBBS FERRY,NY,10522
4115,NORTHERN WESTCHESTER HOSPITAL,MOUNT KISCO,NY,10549
4116,PHELPS MEMORIAL HOSPITAL CENTER,NORTH TARRYTOWN,NY,10591
4117,SOLDIERS AND SAILORS MEMORIAL HOSPITAL,PENN YAN,NY,14527
4118,BRONX-LEBANON HOSPITAL CENTER - FULTON DIVISION,BRONX,NY,10456
4119,SBH HEALTH SYSTEM,BRONX,NY,10457
4120,WESTCHESTER SQUARE MEDICAL CENTER,BRONX,NY,10461
4121,LUTHERAN MEDICAL CENTER,BROOKLYN,NY,11209
4122,NEW YORK METHODIST HOSPITAL,BROOKLYN,NY,11215
4123,INTERFAITH MEDICAL CENTER,BROOKLYN,NY,11213
4124,WYCKOFF HEIGHTS MEDICAL CENTER,BROOKLYN,NY,11237
4125,BELLEVUE HOSPITAL CENTER,NEW YORK,NY,10016
4126,HARLEM HOSPITAL CENTER,NEW YORK,NY,10037
4127,NYU HOSPITAL FOR JOINT DISEASES,NEW YORK,NY,10003
4128,RICHMOND UNIVERSITY MEDICAL CENTER - BAYLEY SETON CAMPUS,STATEN ISLAND,NY,10304
4129,FLUSHING HOSPITAL MEDICAL CENTER,FLUSHING,NY,11355
4130,ELMHURST HOSPITAL CENTER,ELMHURST,NY,11373
4131,ST. JOHN'S EPISCOPAL HOSPITAL-SOUTH SHORE,FAR ROCKAWAY,NY,11691
4132,FOREST HILLS HOSPITAL,FLUSHING,NY,11375
4133,THE MOUNT SINAI HOSPITAL OF QUEENS,ASTORIA,NY,11102
4134,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,BROOKLYN,NY,11206
4135,NEW YORK HOSPITAL QUEENS,FLUSHING,NY,11355
4136,ALBERT EINSTEIN COLLEGE OF MEDICINE,BRONX,NY,10461
4137,RICHMOND UNIVERSITY MEDICAL CENTER - MAIN CAMPUS,STATEN ISLAND,NY,10301
4138,RYE AMBULATORY SURGERY CENTER,RYE,NY,10580
4139,STATEN ISLAND UNIVERSITY HOSPITAL - SOUTH,STATEN ISLAND,NY,10305
4140,KANSAS MEDICAL CENTER LLC,ANDOVER,KS,67002
4141,REPUBLIC COUNTY HOSPITAL,BELLEVILLE,KS,66935
4142,HAYS MEDICAL CENTER,HAYS,KS,67601
4143,SUMMIT SURGICAL LLC,HUTCHINSON,KS,67502
4144,MORRIS COUNTY HOSPITAL,COUNCIL GROVE,KS,66846
4145,MERCY HOSPITAL INDEPENDENCE,INDEPENDENCE,KS,67301
4146,WESTERN PLAINS MEDICAL COMPLEX,DODGE CITY,KS,67801
4147,MERCY HOSPITALFORT SCOTT,FORT SCOTT,KS,66701
4148,UNIVERSITY OF KANSAS HOSPITAL,KANSAS CITY,KS,66160
4149,ST CATHERINE HOSPITAL,GARDEN CITY,KS,67846
4150,RUSH COUNTY MEMORIAL HOSPITAL,LA CROSSE,KS,67548
4151,HANOVER HOSPITAL,HANOVER,KS,66945
4152,ATCHISON HOSPITAL,ATCHISON,KS,66002
4153,HARPER HOSPITAL DISTRICT NO 5,HARPER,KS,67058
4154,HIAWATHA COMMUNITY HOSPITAL,HIAWATHA,KS,66434
4155,GRAHAM COUNTY HOSPITAL,HILL CITY,KS,67642
4156,SHERIDAN COUNTY HOSPITAL,HOXIE,KS,67740
4157,GEARY COMMUNITY HOSPITAL,JUNCTION CITY,KS,66441
4158,EDWARDS COUNTY HOSPITAL,KINSLEY,KS,67547
4159,KIOWA DISTRICT HOSPITAL,KIOWA,KS,67070
4160,CUSHING MEMORIAL HOSPITAL,LEAVENWORTH,KS,66048
4161,SAINT JOHN HOSPITAL,LEAVENWORTH,KS,66048
4162,NEWTON MEDICAL CENTER,NEWTON,KS,67114
4163,JEWELL COUNTY HOSPITAL,MANKATO,KS,66956
4164,ST LUKE HOSPITAL & LIVING CENTER,MARION,KS,66861
4165,MEDICINE LODGE MEMORIAL HOSPITAL,MEDICINE LODGE,KS,67104
4166,NESS COUNTY HOSPITAL DISTRICT #2,NESS CITY,KS,67560
4167,LOGAN COUNTY HOSPITAL,OAKLEY,KS,67748
4168,HEARTLAND SURGICAL SPEC HOSPITAL,OVERLAND PARK,KS,66221
4169,LABETTE HEALTH,PARSONS,KS,67357
4170,SALINA REGIONAL HEALTH CENTER,SALINA,KS,67401
4171,GOVE COUNTY MEDICAL CENTER,QUINTER,KS,67752
4172,GRISELL MEMORIAL HOSPITAL,RANSOM,KS,67572
4173,STAFFORD COUNTY HOSPITAL,STAFFORD,KS,67578
4174,SCOTT COUNTY HOSPITAL,SCOTT CITY,KS,67871
4175,STORMONTVAIL HEALTHCARE,TOPEKA,KS,66604
4176,SUMNER REGIONAL MEDICAL CENTER,WELLINGTON,KS,67152
4177,F. W. HUSTON MEDICAL CENTER,WINCHESTER,KS,66097
4178,MAYO CLINIC HEALTH SYSTEM - NORTHLAND IN BARRON,BARRON,WI,54812
4179,BURNETT MED CTR,GRANTSBURG,WI,54840
4180,MEMORIAL MEDICAL CENTER - ASHLAND,ASHLAND,WI,54806
4181,ST MARYS HSPTL MED CTR,GREEN BAY,WI,54303
4182,ST JOSEPHS HSPTL,CHIPPEWA FALLS,WI,54729
4183,UW HLTH PARTNERS - WATERTOWN REGIONAL MEDICAL CTR,WATERTOWN,WI,53098
4184,GRANT REG HLTH CTR,LANCASTER,WI,53813
4185,SOUTHWEST HEALTH CENTER INC,PLATTEVILLE,WI,53818
4186,UNITED HSPTL SYS,KENOSHA,WI,53143
4187,UNITED HOSPITAL SYS ST CATHERINES CAMPUS,PLEASANT PRAIRIE,WI,53158
4188,MAYO CLINIC HLTH SYSTEM- FRANCISCAN MED CTR,LA CROSSE,WI,54601
4189,ASPIRUS LANGLADE HOSPITAL,ANTIGO,WI,54409
4190,ST CLARES HOSPITAL OF WESTON INC,WESTON,WI,54476
4191,BAY AREA MED CTR,MARINETTE,WI,54143
4192,AURORA ST LUKES MED CTR SOUTH SHORE,CUDAHY,WI,53110
4193,WHEATON FRANCISCAN INC- ST JOSEPH,MILWAUKEE,WI,53210
4194,TOMAH MEM HSPTL,TOMAH,WI,54660
4195,CHIPPEWA VALLEY HSPTL,DURAND,WI,54736
4196,EDGERTON HOSPITAL AND HEALTH SERVICES,EDGERTON,WI,53534
4197,MERCY HLTH SYS CORP,JANESVILLE,WI,53548
4198,SAUK PRAIRIE MEM HSPTL,PRAIRIE DU SAC,WI,53578
4199,ST JOSEPHS HLTH SVCS,HILLSBORO,WI,54634
4200,INDIANHEAD MED CTR,SHELL LAKE,WI,54871
4201,MERCY WALWORTH HOSPITAL & MEDICAL CENTER,LAKE GENEVA,WI,53147
4202,AURORA MED CENTER-WASHINGTON COUNTY,HARTFORD,WI,53027
4203,OCONOMOWOC MEM HSPTL,OCONOMOWOC,WI,53066
4204,LIFECARE HOSPITALS OF WISCONSIN,PEWAUKEE,WI,53072
4205,RIVERSIDE MEDICAL CENTER,WAUPACA,WI,54981
4206,CHILDRENS HSPTL OF WISCONSIN FOX VALLEY,NEENAH,WI,54956
4207,MERCY MED CTR OF OSHKOSH,OSHKOSH,WI,54904
4208,MINISTRY SAINT JOSEPHS HOSPITAL,MARSHFIELD,WI,54449
4209,CASTLE MEDICAL CENTER,KAILUA,HI,96734
4210,HAWAII MEDICAL CENTER EAST,HONOLULU,HI,96817
4211,HILO MEDICAL CENTER,HILO,HI,96720
4212,KAHUKU MEDICAL CENTER,KAHUKU,HI,96731
4213,KAU HOSPITAL,PAHALA,HI,96777
4214,KOHALA HOSPITAL,KAPAAU,HI,96755
4215,KONA COMMUNITY HOSPITAL,KEALAKEKUA,HI,96750
4216,KUAKINI MEDICAL CENTER,HONOLULU,HI,96817
4217,KULA HOSPITAL,KULA,HI,96790
4218,MAUI MEMORIAL MEDICAL CENTER,WAILUKU,HI,96793
4219,NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,HI,96743
4220,QUEENS MEDICAL CENTER,HONOLULU,HI,96813
4221,REHABILITATION HOSPITAL OF THE PACIFIC,HONOLULU,HI,96817
4222,SAMUEL MAHELONA  MEMORIAL HOSPITAL,KAPAA,HI,96746
4223,STRAUB CLINIC AND  HOSPITAL,HONOLULU,HI,96813
4224,WILCOX MEMORIAL HOSPITAL,LIHUE,HI,96766
4225,HOSP METROPOLITANO DR SUSONI,ARECIBO PUEBLO,PR,614
4226,HOSP DR. CAYETANO COLL Y TOSTE,ARECIBO PUEBLO,PR,613
4227,CLINICA SANTA ROSA,GUAYAMA,PR,785
4228,HOSP SAN CRISTOBAL,COTO LAUREL,PR,731
4229,HIMA SAN PABLO - BAYAMON,BAYAMON,PR,960
4230,HOSP HERMANOS MELENDEZ,BAYAMON,PR,960
4231,CENTRO CARDIOVASCULAR DE PR Y CARIBE DR RAMON M SUAREZ,MONACILLO URBANO,PR,936
4232,HOSP INDUSTRIAL C.F.S.E.,MONACILLO URBANO,PR,936
4233,HOSP SAN FRANCISCO,SAN JUAN,PR,929
4234,DOCTORS' CENTER HOSP SAN JUAN INC,SAN JUAN,PR,910
4235,HOSP PSIQUIATRIA FORENSE DE RIO PIEDRAS,SANTURCE,PR,928
4236,NORTON HEALTHCARE PAVILION,LOUISVILLE,KY,40232
4237,KOSAIR CHILDREN'S HOSPITAL,LOUISVILLE,KY,40202
4238,"ROY LESTER SCHNEIDER HOSPITAL,THE",ST THOMAS,VI,801
4239,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,ST CROIX,VI,820
4240,LBJ TROPICAL MEDICAL CENTER,PAGO PAGO,AS,96799
4241,POLAR WIND MEDICAL CENTER,FAIRBANKS,AK,99701
4242,FORT RICHARDSON TROOP MEDICAL CLINIC,FORT RICHARDSON,AK,99505
4243,ALICIA ROBERTS MEDICAL CENTER - SEARHC,KLAWOCK,AK,99925
4244,HARRIS HOSPITAL,NEWPORT,AR,72112
4245,NEA BAPTIST MEMORIAL HOSPITAL,JONESBORO,AR,72401
4246,"SELECT SPECIALTY HOSPITAL - FORT SMITH, INC.",FORT SMITH,AR,72901
4247,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,STUTTGART,AR,72160
4248,MERCY HOSPITAL OZARK,OZARK,AR,72949
4249,ARKANSAS CHILDREN'S HOSPITAL,LITTLE ROCK,AR,72202
4250,HOWARD MEMORIAL HOSPITAL,NASHVILLE,AR,71852
4251,ABRAZO ARIZONA HEART HOSPITAL,PHOENIX,AZ,85016
4252,BANNER GOLDFIELD MEDICAL CENTER,APACHE JUNCTION,AZ,85120
4253,HEALTHSOUTH VALLEY OF THE SUN REHABILITATION,GLENDALE,AZ,85304
4254,"TEMPE ST LUKE'S HOSPITAL, A CAMPUS OF ST LUKE'S MEDICAL CENTER",TEMPE,AZ,85281
4255,BANNER CASA GRANDE MEDICAL CENTER,CASA GRANDE,AZ,85222
4256,US AIR FORCE HOSPITAL-GLENDALE - CLOSED,GLENDALE,AZ,85301
4257,US ARMY HOSPITAL-FT HUACHUCA,FORT HUACHUCA,AZ,85613
4258,ALAMEDA HOSPITAL AT WATERS EDGE,ALAMEDA,CA,94501
4259,BARSTOW COMMUNITY HOSPITAL,BARSTOW,CA,92311
4260,COLLEGE MEDICAL CENTER,LONG BEACH,CA,90806
4261,COLLEGE MEDICAL CENTER SOUTH CAMPUS D/P APH,LONG BEACH,CA,90813
4262,FALLBROOK HOSP DISTRICT SKILLED NURSING FACILITY,FALLBROOK,CA,92028
4263,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,SAN LEANDRO,CA,94577
4264,LOMPOC VALLEY MEDICAL CENTER COMPREHENSIVE CARE CENTER D/P S,LOMPOC,CA,93436
4265,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE",ARROYO GRANDE,CA,93420
4266,PALOMAR MEDICAL CENTER,ESCONDIDO,CA,92025
4267,PROMISE HOSPITAL OF EAST LOS ANGELES-EAST L.A. CAMPUS,LOS ANGELES,CA,90033
4268,PROVIDENCE LITTLE COMPANY OF MARY SUBACUTE CARE CENTER,SAN PEDRO,CA,90732
4269,SONORA REGIONAL MEDICAL CENTER D/P SNF (UNIT 6 AND 7),SONORA,CA,95370
4270,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,CULVER CITY,CA,90231
4271,TELECARE STANISLAUS COUNTY PHF,CERES,CA,95307
4272,LANTERMAN DEVELOPMENTAL CENTER,POMONA,CA,91768
4273,TEMECULA VALLEY HOSPITAL,TEMECULA,CA,92592
4274,VENTURA COUNTY MEDICAL CENTER - SANTA PAULA  HOSPITAL,SANTA PAULA,CA,93060
4275,VIBRA HOSPITAL OF NORTHERN CALIFORNIA,REDDING,CA,96001
4276,WOODLANDS PSYCHIATRIC HEALTH FACILITY,GEYSERVILLE,CA,95441
4277,ST. ELIZABETHS HOSPITAL,WASHINGTON,DC,20032
4278,JACKSON PLAZA REHABILITATION  & NURSING CENTER,MIAMI,FL,33136
4279,SHANDS VISTA BEHAVIORAL HEALTH,GAINESVILLE,FL,32606
4280,FAIR OAKS PAVILION - PSYCHIATRIC HOSPITAL,DELRAY BEACH,FL,33484
4281,HAMILTON MEDICAL CENTER,DALTON,GA,30720
4282,CANDLER HOSPITAL,SAVANNAH,GA,31412
4283,CLINCH MEMORIAL HOSPITAL,HOMERVILLE,GA,31634
4284,WAYNE MEMORIAL HOSPITAL,JESUP,GA,31545
4285,WESLEY WOODS GERIATRIC HOSPITAL,ATLANTA,GA,30329
4286,"NOLAND HOSPITAL MONTGOMERY, LLC",MONTGOMERY,AL,36106
4287,CHEROKEE REGIONAL MEDICAL CENTER,CHEROKEE,IA,51012
4288,DALLAS COUNTY HOSPITAL,PERRY,IA,50220
4289,IOWA SPECIALTY HOSPITAL - BELMOND,BELMOND,IA,50421
4290,IOWA SPECIALTY HOSPITAL-CLARION,CLARION,IA,50525
4291,MERCY MEDICAL CENTER-DYERSVILLE,DYERSVILLE,IA,52040
4292,ADAIR COUNTY MEMORIAL HOSPITAL,GREENFIELD,IA,50849
4293,FLOYD COUNTY MEMORIAL HOSPITAL,CHARLES CITY,IA,50616
4294,FLOYD VALLEY HOSPITAL,LE MARS,IA,51031
4295,MEMORIAL HOSPITAL,SEWARD,NE,68434
4296,"ROBERT WOOD JOHNSON, JR. REHABILITATION INSTITUTE",EDISON,NJ,8818
4297,ACCEL REHABILITATION HOSPITAL OF PLANO,PLANO,TX,75093
4298,WARM SPRINGS REHABILITATION HOSPITAL OF VICTORIA,VICTORIA,TX,77904
4299,WARM SPRINGS SPECIALTY HOSPITAL OF SAN ANTONIO,SAN ANTONIO,TX,78224
4300,VICTORY MEDICAL CENTER LANDMARK,SAN ANTONIO,TX,78249
4301,WESTSIDE SURGICAL HOSPTIAL,HOUSTON,TX,77027
4302,MAYO CLINIC HLTH SYSTM FRANCISCAN HLTHCARE SPARTA,SPARTA,WI,54656
4303,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,MANDEVILLE,LA,70448
4304,UTAH VALLEY SPECIALTY HOSPITAL,PROVO,UT,84604
4305,KETCHIKAN GENERAL HOSPITAL,KETCHIKAN,AK,99901
4306,CHEROKEE NATION W. W. HASTINGS HOSPITAL,TAHLEQUAH,OK,74464
4307,FORT BELKNAP HOSPITAL,HARLEM,MT,59526
4308,81ST MEDICAL GROUP - KEESLER MEDICAL CENTER,KEESLER AFB,MS,39534
4309,88TH MEDICAL GROUP - WRIGHT-PATTERSON AIR FORCE BASE MEDICAL CENTER,WRIGHT PATTERSON AFB,OH,45433
4310,EVANS ARMY COMMUNITY HOSPITAL,FORT CARSON,CO,80913
4311,MALCOLM GROW MEDICAL CLINICS AND SURGERY CENTER,JOINT BASE ANDREWS,MD,20762
4312,PHOENIX VA HEALTH CARE SYSTEM,PHOENIX,AZ,85012
4313,CAVHCS-WEST,MONTGOMERY,AL,36109
4314,MALCOM RANDALL VA MEDICAL CENTER,GAINESVILLE,FL,32608
4315,LOCH RAVEN VA COMMUNITY LIVING & REHABILITATION CENTER,BALTIMORE,MD,21218
4316,VA MEDICAL CENTER - BROOKLYN CAMPUS,BROOKLYN,NY,11209
4317,AKRON CHILDREN'S HOSP BEEGHLY,BOARDMAN,OH,44512
4318,FLORIDA HOSPITAL ORLANDO,ORLANDO,FL,32803
4319,PHYSICIANS REGIONAL - PINE RIDGE,NAPLES,FL,34119
4320,WILLOUGH AT NAPLES HOSPITAL,NAPLES,FL,34113
4321,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
4322,ST LUCIE MEDICAL CENTER,PORT SAINT LUCIE,FL,34952
4323,GULF COAST MEDICAL CENTER LEE MEMORIAL H,FORT MYERS,FL,33912
4324,LEHIGH REGIONAL MEDICAL CENTER,LEHIGH ACRES,FL,33936
4325,FLORIDA HOSPITAL FISH MEMORIAL,ORANGE CITY,FL,32763
4326,FLORIDA HOSPITAL AT CONNERTON LONG TERM,LAND O LAKES,FL,34637
4327,MEDICAL CENTER OF TRINITY,TRINITY,FL,34655
4328,MEDICAL CENTER OF TRINITY WEST PASCO CAM,NEW PORT RICHEY,FL,34652
4329,MORTON PLANT NORTH BAY HOSPITAL,NEW PORT RICHEY,FL,34652
4330,MORTON PLANT NORTH BAY HOSPITAL RECOVERY CENTER,LUTZ,FL,33549
4331,ST JOSEPH MEMORIAL HOSPITAL,MURPHYSBORO,IL,62966
